feature,weight
ability,0.017750065080995626
able,-0.1578476160390856
absolutely,0.170313353890374
absolutely amazing,0.28959825492642594
accept,-0.3173891499101858
access,-0.516471758030196
accused,-0.09105668018655952
achievement,0.09609730971557762
act,-0.23040463309787693
acted,0.24518499643043848
acting,0.20737812288710014
acting bad,-0.1556046882558162
action,0.21396586234995066
action movie,-0.4446134680748913
actor,-0.39366408768638206
actor give,0.11256312407763563
actress,0.17018765372921116
actually,0.8609759793930667
added,0.8524433463093172
addition,-0.18836159092444846
additional,0.023149922404246695
adorable,1.0823594679565414
advise,1.0934646203905698
aerial,0.37859951302073835
aerial scene,0.263711583093327
afraid,0.9738735459689751
afternoon,-0.4408439110814114
age,0.21450264188086746
ago,0.22160561072639262
air,0.5007145713580987
allowing,0.16264323838599065
almost,0.02657645746879526
alone,-0.29024222254968096
along,0.10004884967951388
already,0.686816687648735
also,0.07577390307388797
also great,0.44697672145988143
also make,0.8138883378696202
also phone,-0.287299228280014
also take,0.12006343672478671
although,-0.2699272142272477
always,0.8307413170597808
always good,0.28319700657203833
always great,0.15066663839676303
always hit,0.1966615103965785
amazed,0.38232504223054803
amazing,1.6250512300440758
amazon,0.16846318508813266
ambiance,-0.18639979553587085
ambience,0.3009372954356732
america,-0.26537261951920893
american,0.23197591084390734
amount,0.2856482507486124
ample,0.5899388625114924
angeles,-0.17864684711107154
angle,0.28467462624472323
angry,-0.3611540738546585
annoying,-0.7714380715807877
another,-0.6865626262324429
another minute,-0.15966369691226281
answer,0.23820323940454727
anyone,-0.38730802040399737
anyone could,0.03784859846333959
anything,-0.5450500456620789
anytime,-0.4692519381123715
anytime soon,-0.4692519381123715
anyway,0.1560458531022531
apart,0.2600560319187534
appalling,-1.2496732351345579
appealing,-0.9961899214834166
appearance,0.6291284515475813
appears,0.3967451023857014
appetizer,0.6470065727423296
appreciate,0.1849167615880043
appreciate subtle,0.09609730971557763
area,0.4596397208943789
around,0.3698171360662087
around like,-0.12058366360684192
array,0.7827011668212444
arrived,-0.4105577197886605
art,0.6572111246931422
art movie,0.0406509693167697
as,-0.16630629392156165
aside,-0.4247358993921025
ask,1.2744210206251123
asked,-0.9510725484282866
asleep,-0.0701255113897647
aspect,0.10524791403517633
assure,1.2108986574887997
ate,-0.48743236582918276
atmosphere,-0.03097402864071114
atmosphere fun,0.5279052384343804
atrocious,0.09609730971557764
attack,-0.5057004036492951
attempt,-0.09640500436685925
attention,-0.05188983989512489
attentive,0.7498553725192866
attitude,-0.47305979823876015
audience,0.1585054657181995
audio,0.23901651309814834
audio quality,0.3165315982566705
authentic,0.47148301938353865
auto,-0.1095915948433445
average,-1.322512585802753
avoid,-0.8855113845748852
avoid cost,-0.4271572264522486
avoid place,-0.2849148676478235
award,-0.08884726160335776
away,-0.3757802114386214
awesome,1.5176828151815762
awful,-1.3268376394336177
awkwardly,-0.18922106244765424
baby,0.2546201457484489
back,-0.23568783179839597
back anytime,-0.13937625269208878
back every,0.430084940905559
back place,-0.0596182056260591
background,0.6235892034888555
bacon,0.578595580345219
bad,-2.0248019340225367
bad acting,5.204170427930421e-18
bad bad,0.01210396633317199
bad even,-0.1815589448443349
bad film,-0.7274907677493281
bad food,-0.20343199168422726
bad idea,0.0
bad movie,-0.6134967348376847
bad review,-0.06573667415035013
bad script,-0.22944200433190298
bad well,0.63612527245984
bagel,-0.46621191135638756
bakery,-0.2810083032191896
balanced,-0.5607314743934657
ball,-0.17987552011308136
bar,0.05763866269808593
barely,-0.10245853034216904
bargain,0.3048533142910866
basically,-0.3395064698276559
bathroom,-0.29838565218691265
battery,-0.149640825630253
battery life,-0.5796999501661474
battery work,4.87890977618477e-19
bay,-0.05010710230951225
bean,0.3026795298486685
bear,-0.14840956698547114
beat,0.7480504374897053
beautiful,1.356252770823267
beautifully,0.7786970216596478
become,0.9006532227171161
beef,0.1096272631446447
beer,0.29371208751078093
beer selection,0.05629035347588705
began,0.05839459126920598
begin,-0.25173718715719023
beginning,0.6096032745569291
behind,0.3310427887973156
believable,0.5943177908905768
believe,-0.5379275375014491
bell,-0.2328767787772509
belly,0.08661927593754004
belt,0.16921048324359572
best,1.4921401532103322
best bluetooth,0.10133501379163279
best movie,0.11331527543225196
best part,0.4328001170838721
best phone,0.49687983562601074
best place,0.08910923697047402
best scene,0.40244338830151777
better,0.29232566842944463
betty,0.09609730971557763
beware,-0.4199886006742284
beyond,-0.06814025087953578
big,-0.2579044039192637
biggest,-0.030198405363520402
bill,0.04984078081088195
billy,-0.05447965258524434
biscuit,0.10345519968643767
bit,-1.0532684929529652
bit disappointed,0.42120206572972424
bit predictable,-0.23275330648675568
bite,0.5410242215379513
black,0.562310231128387
black white,0.1588426658038825
blah,-0.8074856499511333
bland,-1.1845138058489904
blood,0.6382778409020281
blown,-0.3866157405977329
blue,0.5398853325752987
blue tooth,-0.024562134072821658
bluetooth,0.9846754217698831
bluetooth headset,-0.041860517551754586
boba,-0.8068704800009375
bonus,0.39662215109864346
book,0.4379451936954333
bore,-0.7671377227252018
bored,-0.45076022656224785
boring,-0.639024456061789
bother,-0.802690444380474
bother movie,0.05118271305342802
bottom,-0.4571117158952021
bought,0.1017244396361664
bowl,0.5973229714584539
box,-0.024735006004117426
boy,-0.15179744254087416
boyfriend,0.41625173324722525
bread,1.0562326852679391
break,-1.0761953997204519
breakfast,0.46798141616983274
brick,0.23340224528250358
brick oven,0.23340224528250358
brilliance,0.8651889698070577
brilliant,1.2766243014361702
bring,-0.7831291261312604
bring check,-0.24194765757599163
brings,0.563895513574141
broke,-1.0062839981034866
broken,-0.31225043622488635
brother,0.08061633187500471
brought,0.38715991913694986
brunch,-0.18877273169074738
bt,-0.4167759964484182
bt headset,-0.3856313048111946
buck,0.07335556191421881
budget,-0.18831511310773247
buffet,0.31806986444180196
building,-0.46290450866300475
built,0.0955302713197106
bullock,-0.12325231001892528
bunch,-0.14685646180179507
burger,0.11904186403909488
burger good,-0.4076341260134078
business,-0.7370185545829852
busy,-0.7229877255116424
butter,0.25371235962632255
button,-0.3779478220094285
buy,-0.40280572153149835
buy product,-0.4351616977728071
buyer,-0.6620744765119884
buying,-0.8813131755872357
buzzing,-0.2531320747731142
buzzing override,-0.2531320747731142
cable,-0.342946925648428
cafe,-0.09631621408072011
cake,0.3437396227404863
call,-0.7461251743012409
called,0.2636582481620278
came,-0.12561845328633015
came back,-0.4767659707773264
came phone,0.09551548751621701
camera,0.3665832832011714
camera nice,0.012384390962362643
camera phone,-0.4199286625816318
camera really,0.17799501696979875
camera work,-0.3104610688253452
cant,0.16769048708743176
car,0.21053363921338042
car charger,0.09087895790729558
card,-0.6263024099505379
care,-0.020734894304287727
careful,-0.3209311599076572
carry,0.5166662711119748
cartoon,0.6853987666093233
case,1.0301610986532905
case fit,-0.5452515996753813
cashier,0.15123894063708215
cast,0.6445846459480847
cast also,0.05568574702251375
cast good,0.4889486466675644
casting,0.27490425385621037
caught,-0.3370165123087928
caused,-0.20172614322591742
cease,0.39282526856535105
cell,0.5644632288603514
cell phone,-0.1780571492276632
cellphone,0.43589884360774617
central,0.11711154416121987
century,-0.00843480520027577
certain,-0.3093184585751685
certainly,-0.12594896821237483
chance,0.17037821551961613
change,-0.1966282547394717
changing,-0.31630784846371823
char,-0.29189535634681135
character,1.067818868835606
character interesting,0.29374911318213837
character one,-0.3033394048229979
charcoal,-0.24035453583658586
charge,-0.739277250872406
charge like,0.4424566056098669
charged,0.04483454748502041
charger,-0.537842129812979
charging,0.1070601112407238
charisma,-0.4932814240176051
charles,-0.11977839883819148
charm,0.3925117308332857
charm work,0.4761853299863465
charming,0.4135328208730627
cheap,-0.3920704904653088
cheap plastic,-0.5080510288800916
cheaper,0.5876239567736649
cheaply,-0.47340638831636317
cheaply made,-0.47340638831636317
check,0.7781780976916292
checked,-0.7281399385508559
checking,0.709532238005141
cheek,0.24446333317212482
cheese,0.04126578770770307
cheeseburger,0.07387917083021675
cheesy,-0.05584484785916238
chef,0.6389341703818364
chemistry,0.09604422652061007
chick,-0.537946252951842
chicken,0.04322448166842941
chicken tender,0.08259474105889775
child,0.38837958960596497
childhood,0.09758350218058892
chinese,-0.3385785867882489
chip,-0.34630420853658295
choice,0.38573245965431935
choose,0.2001241994903994
chow,0.48337746444136526
christmas,0.41982504404178467
church,0.12208619689657406
cinema,0.6307617966956023
cinematography,0.7351358848229385
cinematography film,0.44359837424637266
cingular,-0.6700290965067146
circumstance,0.0005164162488387281
clarity,0.6479806194265197
class,-0.09635432878544839
classic,0.2470939863272168
clean,0.20395172325599273
clean friendly,0.06559247042669386
clear,1.0899157029563593
clear great,0.0
clearly,-0.9534711084748949
clever,0.10547287134468575
clich,-0.9236537278923318
clip,-0.6601948116172461
close,0.06521494874622027
closed,-0.10448545555826234
club,0.37813252373498424
cold,-0.5413171767311419
cole,-0.07114046964034486
color,-0.27579432536588316
combination,0.34765528500482606
come,0.24668718379023907
come back,0.9357404438861481
comedy,0.5402196329746055
comfort,0.02581165957168151
comfortable,1.071115545608881
comfortable ear,0.47831232474313135
comfortably,0.8564684855441265
coming,-0.16458671712850037
coming back,-0.2114718108752505
comment,0.10706000166852365
communication,-0.14447949600166257
company,-0.12221977253179851
compelling,0.5180292151171436
complaint,-0.3197321064980281
complete,-0.017013000141019148
completely,-0.704546924480159
complex,0.2351862251205491
composition,0.1559894938128668
computer,-0.4789449316870197
concern,-0.28281689062650645
conclusion,0.9038686316946745
conflict,0.3660335187135794
connected,-0.15466100278959674
connection,-0.18443232883178906
consider,-0.3811771036858273
considering,-0.18627139520127584
consistent,0.09609730971557763
constructed,-1.2630955309456127e-17
construction,0.27568399560093554
consumer,-0.9474207613688108
contact,-0.9235212113984643
contained,-0.26819422016718497
contains,0.1320891321049279
continue,0.20956870209659667
continuity,-0.2160191582312647
contrast,0.7676374676523321
control,0.5381152450370273
convenient,0.5211417287794455
conversation,-0.3269448380759313
conversation phone,-0.2531320747731142
convincing,0.3232706182369775
cook,-0.406459518433313
cooked,0.7886832261102447
cool,1.4080880463126488
corn,0.35851528999567783
correct,-1.0052518068856455
cost,0.2501933406713398
could,-0.602667354884877
could get,-0.5375103725734665
could happier,0.4117163795384758
could stand,-0.2696925992432862
